HUD frame time nsec:,16659000

Range Index,Elapsed Time, First Event,Last Event
0,7776,1,1
1,13984,3,3
2,9280,24,24
3,12704,57,57
4,704,65,65
5,704,73,73
6,704,81,81
7,672,88,88
8,29344,128,128
9,17664,161,161
10,704,169,169
11,736,177,177
12,736,185,185
13,736,192,192
14,15278848,203,203
