HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,7808,1,1
1,13504,3,3
2,10240,24,24
3,12416,61,61
4,704,69,69
5,704,77,77
6,704,85,85
7,704,92,92
8,27168,132,132
9,14816,169,169
10,736,177,177
11,736,185,185
12,704,193,193
13,736,200,200
14,14456160,211,211
