HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,10240,2,2
1,736,22,22
2,10560,27,27
3,105184,46,46
4,7680,61,61
5,13312,69,69
6,736,103,103
7,736,125,125
8,704,147,147
9,768,169,169
10,704,191,191
11,736,213,213
12,704,235,235
13,704,257,257
14,704,279,279
15,736,301,301
16,736,323,323
17,736,345,345
18,704,367,367
19,704,389,389
20,704,411,411
21,704,433,433
22,704,455,455
23,1024,477,477
24,5024,499,499
25,6752,521,521
26,11840,543,543
27,15360,565,565
28,34272,587,587
29,736,609,609
30,736,631,631
31,3136,653,653
32,4544,675,675
33,6144,697,697
34,8480,719,719
35,12704,741,741
36,8000,763,763
37,704,785,785
38,864,807,807
39,1408,829,829
40,3200,851,851
41,4608,873,873
42,8064,895,895
43,12224,917,917
44,3040,939,939
45,704,961,961
46,704,983,983
47,1024,1005,1005
48,2368,1027,1027
49,3520,1049,1049
50,5440,1071,1071
51,6848,1093,1093
52,704,1115,1115
53,704,1137,1137
54,736,1159,1159
55,704,1181,1181
56,1216,1203,1203
57,2656,1225,1225
58,4320,1247,1247
59,3296,1269,1269
60,704,1291,1291
61,736,1313,1313
62,704,1335,1335
63,736,1357,1357
64,704,1379,1379
65,704,1401,1401
66,2752,1423,1423
67,1344,1445,1445
68,704,1467,1467
69,704,1489,1489
70,44832,1522,1522
71,736,1558,1558
72,13725664,1575,1575
