HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,7648,2,2
1,7808,4,4
2,94592,23,23
3,10464,30,30
4,3264,64,64
5,768,86,86
6,704,108,108
7,704,130,130
8,704,152,152
9,992,174,174
10,736,196,196
11,736,218,218
12,704,240,240
13,704,262,262
14,704,284,284
15,704,306,306
16,704,328,328
17,704,350,350
18,704,372,372
19,736,394,394
20,736,416,416
21,704,438,438
22,704,460,460
23,704,482,482
24,704,504,504
25,736,526,526
26,704,548,548
27,704,570,570
28,736,592,592
29,21536,614,614
30,15680,636,636
31,7040,658,658
32,3680,680,680
33,2208,702,702
34,1568,724,724
35,960,746,746
36,704,768,768
37,14080,790,790
38,23616,812,812
39,7040,834,834
40,3776,856,856
41,2080,878,878
42,1440,900,900
43,864,922,922
44,768,944,944
45,704,966,966
46,4992,988,988
47,5216,1010,1010
48,2944,1032,1032
49,1696,1054,1054
50,1184,1076,1076
51,800,1098,1098
52,704,1120,1120
53,736,1142,1142
54,736,1164,1164
55,1344,1186,1186
56,2336,1208,1208
57,1568,1230,1230
58,960,1252,1252
59,736,1274,1274
60,704,1296,1296
61,704,1318,1318
62,768,1340,1340
63,736,1362,1362
64,704,1384,1384
65,704,1406,1406
66,704,1428,1428
67,704,1450,1450
68,25312,1483,1483
69,736,1500,1500
70,13744288,1511,1511
