HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,10560,2,2
1,14592,4,4
2,103296,23,23
3,5952,38,38
4,13664,46,46
5,4384,80,80
6,736,102,102
7,736,124,124
8,736,146,146
9,736,168,168
10,896,190,190
11,1504,212,212
12,1760,234,234
13,704,256,256
14,704,278,278
15,704,300,300
16,704,322,322
17,736,344,344
18,736,366,366
19,1696,388,388
20,3040,410,410
21,736,432,432
22,768,454,454
23,704,476,476
24,736,498,498
25,736,520,520
26,736,542,542
27,1344,564,564
28,3008,586,586
29,736,608,608
30,704,630,630
31,704,652,652
32,736,674,674
33,736,696,696
34,768,718,718
35,1856,740,740
36,1952,762,762
37,704,784,784
38,704,806,806
39,704,828,828
40,768,850,850
41,704,872,872
42,736,894,894
43,800,916,916
44,1312,938,938
45,928,960,960
46,704,982,982
47,704,1004,1004
48,704,1026,1026
49,736,1048,1048
50,704,1070,1070
51,736,1092,1092
52,704,1114,1114
53,704,1136,1136
54,704,1158,1158
55,704,1180,1180
56,736,1202,1202
57,736,1224,1224
58,704,1246,1246
59,704,1268,1268
60,736,1290,1290
61,736,1312,1312
62,704,1334,1334
63,704,1356,1356
64,704,1378,1378
65,736,1400,1400
66,736,1422,1422
67,736,1444,1444
68,704,1466,1466
69,6528,1493,1493
70,32832,1524,1524
71,704,1560,1560
72,13198112,1577,1577
