HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,25216,2,2
1,28960,4,4
2,310336,23,23
3,67648,38,38
4,24000,46,46
5,9344,80,80
6,12160,102,102
7,27936,124,124
8,52192,146,146
9,110944,168,168
10,117408,190,190
11,736,212,212
12,736,234,234
13,2144,256,256
14,8832,278,278
15,22624,300,300
16,56672,322,322
17,138080,344,344
18,52032,366,366
19,704,388,388
20,704,410,410
21,1152,432,432
22,7232,454,454
23,13792,476,476
24,29216,498,498
25,41248,520,520
26,704,542,542
27,704,564,564
28,800,586,586
29,704,608,608
30,4288,630,630
31,11520,652,652
32,12128,674,674
33,1280,696,696
34,704,718,718
35,736,740,740
36,704,762,762
37,704,784,784
38,3136,806,806
39,6528,828,828
40,2112,850,850
41,832,872,872
42,704,894,894
43,704,916,916
44,736,938,938
45,704,960,960
46,704,982,982
47,704,1004,1004
48,736,1026,1026
49,704,1048,1048
50,736,1070,1070
51,704,1092,1092
52,6944,1114,1114
53,704,1136,1136
54,736,1158,1158
55,704,1180,1180
56,736,1202,1202
57,736,1224,1224
58,736,1246,1246
59,704,1268,1268
60,736,1290,1290
61,704,1312,1312
62,704,1334,1334
63,736,1356,1356
64,736,1378,1378
65,704,1400,1400
66,736,1422,1422
67,736,1444,1444
68,704,1466,1466
69,82528,1499,1499
70,736,1535,1535
71,736,1567,1567
72,12362016,1584,1584
