HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
0,10176,2,2
1,13376,4,4
2,113344,23,23
3,15808,38,38
4,13312,46,46
5,864,80,80
6,704,102,102
7,47936,124,124
8,736,146,146
9,704,168,168
10,768,190,190
11,736,212,212
12,704,234,234
13,704,256,256
14,6048,278,278
15,39232,300,300
16,704,322,322
17,704,344,344
18,704,366,366
19,704,388,388
20,704,410,410
21,5536,432,432
22,26784,454,454
23,28704,476,476
24,7744,498,498
25,704,520,520
26,704,542,542
27,704,564,564
28,736,586,586
29,6304,608,608
30,13376,630,630
31,12128,652,652
32,8032,674,674
33,704,696,696
34,704,718,718
35,704,740,740
36,736,762,762
37,736,784,784
38,5632,806,806
39,6944,828,828
40,7680,850,850
41,1984,872,872
42,672,894,894
43,736,916,916
44,704,938,938
45,704,960,960
46,1696,982,982
47,4128,1004,1004
48,4672,1026,1026
49,2816,1048,1048
50,736,1070,1070
51,736,1092,1092
52,704,1114,1114
53,736,1136,1136
54,672,1158,1158
55,1120,1180,1180
56,2784,1202,1202
57,2880,1224,1224
58,704,1246,1246
59,736,1268,1268
60,736,1290,1290
61,704,1312,1312
62,704,1334,1334
63,736,1356,1356
64,832,1378,1378
65,1952,1400,1400
66,1024,1422,1422
67,704,1444,1444
68,736,1466,1466
69,6560,1493,1493
70,34272,1524,1524
71,704,1560,1560
72,13027168,1577,1577
