HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,10720,2,2
1,704,18,18
2,10272,23,23
3,128384,42,42
4,17696,61,61
5,13344,69,69
6,6016,103,103
7,2816,125,125
8,3136,147,147
9,2112,169,169
10,736,191,191
11,704,213,213
12,736,235,235
13,704,257,257
14,704,279,279
15,704,301,301
16,2688,323,323
17,7136,345,345
18,7360,367,367
19,8544,389,389
20,704,411,411
21,704,433,433
22,704,455,455
23,768,477,477
24,3840,499,499
25,6432,521,521
26,11584,543,543
27,29888,565,565
28,28448,587,587
29,46560,609,609
30,1440,631,631
31,1888,653,653
32,3264,675,675
33,5600,697,697
34,10272,719,719
35,27968,741,741
36,19296,763,763
37,704,785,785
38,704,807,807
39,1280,829,829
40,3008,851,851
41,5024,873,873
42,11648,895,895
43,12736,917,917
44,2048,939,939
45,704,961,961
46,704,983,983
47,896,1005,1005
48,2912,1027,1027
49,4992,1049,1049
50,5760,1071,1071
51,1824,1093,1093
52,704,1115,1115
53,704,1137,1137
54,704,1159,1159
55,704,1181,1181
56,1632,1203,1203
57,3136,1225,1225
58,800,1247,1247
59,672,1269,1269
60,736,1291,1291
61,704,1313,1313
62,704,1335,1335
63,704,1357,1357
64,736,1379,1379
65,704,1401,1401
66,704,1423,1423
67,672,1445,1445
68,736,1467,1467
69,736,1489,1489
70,45632,1522,1522
71,736,1558,1558
72,13405216,1575,1575
