HUD frame time nsec:,16668000

Range Index,Elapsed Time, First Event,Last Event
0,10592,2,2
1,704,22,22
2,11232,27,27
3,97280,46,46
4,8896,61,61
5,13344,69,69
6,6848,103,103
7,3712,125,125
8,3360,147,147
9,2944,169,169
10,1344,191,191
11,704,213,213
12,704,235,235
13,736,257,257
14,736,279,279
15,1184,301,301
16,5728,323,323
17,8160,345,345
18,13440,367,367
19,13536,389,389
20,46752,411,411
21,704,433,433
22,704,455,455
23,3008,477,477
24,4704,499,499
25,6528,521,521
26,13536,543,543
27,15968,565,565
28,7776,587,587
29,704,609,609
30,704,631,631
31,1888,653,653
32,3968,675,675
33,5760,697,697
34,9312,719,719
35,6176,741,741
36,704,763,763
37,704,785,785
38,704,807,807
39,736,829,829
40,3104,851,851
41,5440,873,873
42,6912,895,895
43,704,917,917
44,704,939,939
45,736,961,961
46,736,983,983
47,736,1005,1005
48,2080,1027,1027
49,4448,1049,1049
50,1792,1071,1071
51,736,1093,1093
52,736,1115,1115
53,736,1137,1137
54,736,1159,1159
55,704,1181,1181
56,736,1203,1203
57,1568,1225,1225
58,704,1247,1247
59,704,1269,1269
60,704,1291,1291
61,704,1313,1313
62,704,1335,1335
63,736,1357,1357
64,736,1379,1379
65,736,1401,1401
66,704,1423,1423
67,704,1445,1445
68,736,1467,1467
69,704,1489,1489
70,44576,1522,1522
71,704,1558,1558
72,13552128,1575,1575
