HUD frame time nsec:,16669000

Range Index,Elapsed Time, First Event,Last Event
0,29728,1,1
1,7872,14,14
2,736,27,27
3,736,40,40
4,736,53,53
5,736,66,66
6,704,79,79
7,736,92,92
8,896,105,105
9,736,118,118
10,704,131,131
11,736,144,144
12,736,157,157
13,736,170,170
14,736,183,183
15,768,196,196
16,736,209,209
17,736,222,222
18,736,235,235
19,736,248,248
20,704,261,261
21,704,274,274
22,704,287,287
23,704,300,300
24,704,313,313
25,704,326,326
26,704,339,339
27,736,352,352
28,672,365,365
29,704,378,378
30,704,391,391
31,736,404,404
32,704,417,417
33,704,430,430
34,704,443,443
35,832,456,456
36,736,469,469
37,704,482,482
38,704,495,495
39,672,508,508
40,928,521,521
41,704,534,534
42,704,547,547
43,704,560,560
44,704,573,573
45,832,586,586
46,704,599,599
47,704,612,612
48,704,625,625
49,704,638,638
50,704,651,651
51,704,664,664
52,704,677,677
53,704,690,690
54,704,703,703
55,704,716,716
56,704,729,729
57,704,742,742
58,704,755,755
59,704,768,768
60,704,781,781
61,704,794,794
62,768,807,807
63,736,820,820
64,704,833,833
65,704,846,846
66,704,859,859
67,704,872,872
68,704,885,885
69,704,898,898
70,736,911,911
71,704,924,924
72,704,937,937
73,736,950,950
74,704,963,963
75,704,976,976
76,672,989,989
77,704,1002,1002
78,704,1015,1015
79,704,1028,1028
80,704,1041,1041
81,704,1054,1054
82,704,1067,1067
83,704,1080,1080
84,704,1093,1093
85,704,1106,1106
86,704,1119,1119
87,672,1132,1132
88,704,1145,1145
89,736,1158,1158
90,704,1171,1171
91,704,1184,1184
92,704,1197,1197
93,704,1210,1210
94,704,1223,1223
95,928,1236,1236
96,704,1249,1249
97,704,1262,1262
98,704,1275,1275
99,704,1288,1288
100,704,1301,1301
101,704,1314,1314
102,704,1327,1327
103,736,1340,1340
104,704,1353,1353
105,704,1366,1366
106,704,1379,1379
107,704,1392,1392
108,704,1405,1405
109,704,1418,1418
110,736,1431,1431
111,704,1444,1444
112,704,1457,1457
113,704,1470,1470
114,736,1483,1483
