HUD frame time nsec:,16667000

Range Index,Elapsed Time, First Event,Last Event
0,10432,2,2
1,13568,4,4
2,112736,23,23
3,7008,38,38
4,6816,63,63
5,13536,71,71
6,4896,105,105
7,1632,127,127
8,1504,149,149
9,1728,171,171
10,2400,193,193
11,2048,215,215
12,1696,237,237
13,1760,259,259
14,736,281,281
15,768,303,303
16,960,325,325
17,896,347,347
18,1632,369,369
19,2880,391,391
20,1664,413,413
21,1664,435,435
22,704,457,457
23,704,479,479
24,704,501,501
25,896,523,523
26,1472,545,545
27,1024,567,567
28,1472,589,589
29,1120,611,611
30,768,633,633
31,1440,655,655
32,1280,677,677
33,864,699,699
34,1664,721,721
35,1376,743,743
36,1312,765,765
37,1280,787,787
38,704,809,809
39,704,831,831
40,704,853,853
41,736,875,875
42,736,897,897
43,704,919,919
44,736,941,941
45,704,963,963
46,736,985,985
47,704,1007,1007
48,736,1029,1029
49,704,1051,1051
50,736,1073,1073
51,704,1095,1095
52,704,1117,1117
53,704,1139,1139
54,672,1161,1161
55,704,1183,1183
56,704,1205,1205
57,704,1227,1227
58,704,1249,1249
59,736,1271,1271
60,704,1293,1293
61,736,1315,1315
62,672,1337,1337
63,800,1359,1359
64,704,1381,1381
65,704,1403,1403
66,736,1425,1425
67,704,1447,1447
68,736,1469,1469
69,704,1491,1491
70,39168,1525,1525
71,704,1561,1561
72,12700800,1578,1578
