HUD frame time nsec:,16665000

Range Index,Elapsed Time, First Event,Last Event
0,7680,2,2
1,8096,4,4
2,52864,23,23
3,10880,30,30
4,8128,64,64
5,2624,86,86
6,5376,108,108
7,9568,130,130
8,10752,152,152
9,11296,174,174
10,736,196,196
11,736,218,218
12,736,240,240
13,1504,262,262
14,5120,284,284
15,8768,306,306
16,6816,328,328
17,8832,350,350
18,704,372,372
19,704,394,394
20,704,416,416
21,736,438,438
22,736,460,460
23,704,482,482
24,736,504,504
25,704,526,526
26,736,548,548
27,704,570,570
28,704,592,592
29,704,614,614
30,736,636,636
31,704,658,658
32,736,680,680
33,736,702,702
34,704,724,724
35,736,746,746
36,704,768,768
37,704,790,790
38,704,812,812
39,704,834,834
40,736,856,856
41,704,878,878
42,704,900,900
43,704,922,922
44,704,944,944
45,704,966,966
46,736,988,988
47,768,1010,1010
48,736,1032,1032
49,736,1054,1054
50,736,1076,1076
51,736,1098,1098
52,704,1120,1120
53,736,1142,1142
54,704,1164,1164
55,704,1186,1186
56,736,1208,1208
57,704,1230,1230
58,704,1252,1252
59,800,1274,1274
60,736,1296,1296
61,704,1318,1318
62,704,1340,1340
63,704,1362,1362
64,704,1384,1384
65,704,1406,1406
66,736,1428,1428
67,704,1450,1450
68,24768,1483,1483
69,704,1500,1500
70,13882464,1511,1511
